1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,2
28,0
29,0
30,0
31,2
32,1
33,1
34,1
35,0
36,1
37,5
38,1
39,4
40,4
41,4
42,3
43,2
44,2
45,6
46,5
47,18
48,15
49,15
50,12
51,25
52,34
53,33
54,51
55,68
56,103
57,105
58,129
59,155
60,142
61,186
62,266
63,270
64,272
65,268
66,345
67,273
68,264
69,334
70,270
71,296
72,281
73,329
74,308
75,285
76,376
77,324
78,486
79,376
80,447
81,402
82,363
83,463
84,437
85,436
86,455
87,537
88,558
89,481
90,651
91,624
92,651
93,601
94,661
95,574
96,386
97,514
98,437
99,470
100,447
101,419
102,430
103,349
104,472
105,407
106,393
107,402
108,441
109,328
110,273
111,312
112,333
113,270
114,337
115,367
116,294
117,267
118,386
119,344
120,312
121,366
122,460
123,331
124,304
125,365
126,391
127,391
128,347
129,275
130,286
131,272
132,362
133,323
134,296
135,245
136,342
137,288
138,231
139,362
140,230
141,233
142,234
143,218
144,189
145,160
146,206
147,178
148,206
149,175
150,187
151,120
152,151
153,217
154,186
155,171
156,154
157,166
158,159
159,141
160,187
161,165
162,151
163,288
164,113
165,128
166,116
167,148
168,143
169,94
170,110
171,104
172,96
173,71
174,186
175,148
176,125
177,93
178,99
179,87
180,67
181,111
182,104
183,141
184,74
185,31
186,6
