1,1
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,1
10,0
11,0
12,2
13,2
14,5
15,5
16,3
17,3
18,2
19,6
20,4
21,5
22,5
23,2
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,2
105,0
106,1
107,1
108,1
109,3
110,6
111,3
112,3
113,2
114,1
115,7
116,3
117,2
118,0
119,4
120,2
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
